Card Name,Bank,Annual Fee,Purchase Interest Rate (%),Rewards
No annual fee,Royal Bank of Canada,No annual fee,20.99,""
No annual fee,Royal Bank of Canada,No annual fee,20.99,""
No annual fee,Scotiabank,No annual fee,20.99,""
No annual fee,Scotiabank,No annual fee,20.99,""
No annual fee,CIBC,No annual fee,21.75,""
No annual fee,Capital One Bank,No annual fee,21.9,""
No annual fee,Capital One Bank,No annual fee,21.9,""
No annual fee,Capital One Bank,No annual fee,21.9,
No annual fee,Capital One Bank,No annual fee,21.9,
No annual fee,Capital One Bank,No annual fee,21.9,""
No annual fee,Amex Bank of Canada,No annual fee,21.99,""
No annual fee,Amex Bank of Canada,No annual fee,21.99,""
$6.95 annual fee,BMO Bank of Montreal,No annual fee,1.0E-4,
